Scope No 1: Token <DEF> Lexeme def found

Scope No 1: Token <ID> Lexeme my_func found

Scope No 1: Token <LPAREN> Lexeme ( found

Scope No 1: Token <RPAREN> Lexeme ) found

Scope No 1: Token <COLON> Lexeme : found

Scope No 3: Token <ID> Lexeme a found

Scope No 3: Token <ASSIGNOP> Lexeme = found

Scope No 3: Token <CONST_INT> Lexeme 10 found

Scope No 4: Token <ID> Lexeme b found

Scope No 4: Token <ASSIGNOP> Lexeme = found

Scope No 4: Token <CONST_HEX> Lexeme 0xA425B52CE found

Scope No 6: Token <ID> Lexeme c found

Scope No 6: Token <ASSIGNOP> Lexeme = found

Scope No 6: Token <CONST_FLOAT> Lexeme 1.56 found

Scope No 7: Token <ID> Lexeme d found

Scope No 7: Token <ASSIGNOP> Lexeme = found

Scope No 7: Token <CONST_FLOAT_S> Lexeme 0.56e5 found

Scope No 9: Token <IF> Lexeme if found

Scope No 9: Token <LPAREN> Lexeme ( found

Scope No 9: Token <ID> Lexeme a found

Scope No 9: Token <RELOP> Lexeme > found

Scope No 9: Token <ID> Lexeme b found

Scope No 9: Token <RPAREN> Lexeme ) found

Scope No 9: Token <COLON> Lexeme : found

Scope No 10: Token <PRINT> Lexeme print found

Scope No 10: Token <LPAREN> Lexeme ( found

Scope No 10: Token <ID> Lexeme a found

Scope No 10: Token <RPAREN> Lexeme ) found

Scope No 11: Token <ELIF> Lexeme elif found

Scope No 11: Token <LPAREN> Lexeme ( found

Scope No 11: Token <ID> Lexeme c found

Scope No 11: Token <RELOP> Lexeme < found

Scope No 11: Token <ID> Lexeme d found

Scope No 11: Token <RPAREN> Lexeme ) found

Scope No 11: Token <COLON> Lexeme : found

Scope No 12: Token <PRINT> Lexeme print found

Scope No 12: Token <LPAREN> Lexeme ( found

Scope No 12: Token <ID> Lexeme c found

Scope No 12: Token <RPAREN> Lexeme ) found

Scope No 13: Token <ELSE> Lexeme else found

Scope No 13: Token <COLON> Lexeme : found

Scope No 14: Token <PRINT> Lexeme print found

Scope No 14: Token <LPAREN> Lexeme ( found

Scope No 14: Token <ID> Lexeme b found

Scope No 14: Token <RPAREN> Lexeme ) found

Scope No 16: Token <WHILE> Lexeme while found

Scope No 16: Token <LPAREN> Lexeme ( found

Scope No 16: Token <ID> Lexeme a found

Scope No 16: Token <RELOP> Lexeme <= found

Scope No 16: Token <CONST_INT> Lexeme 12 found

Scope No 16: Token <RPAREN> Lexeme ) found

Scope No 16: Token <COLON> Lexeme : found

Scope No 17: Token <PRINT> Lexeme print found

Scope No 17: Token <LPAREN> Lexeme ( found

Scope No 17: Token <CONST_INT> Lexeme 56 found

Scope No 17: Token <RPAREN> Lexeme ) found

Scope No 18: Token <ID> Lexeme a found

Scope No 18: Token <ADDOP> Lexeme + found

Scope No 18: Token <ASSIGNOP> Lexeme = found

Scope No 18: Token <CONST_INT> Lexeme 1 found

Scope No 19: Token <RETURN> Lexeme return found

Scope No 19: Token <CONST_INT> Lexeme 0 found

Scope No 21: Token <ID> Lexeme Name found

Scope No 21: Token <COLON> Lexeme : found

Scope No 21: Token <ID> Lexeme Anuvab found

Scope No 22: Token <ID> Lexeme ID found

Scope No 22: Token <COLON> Lexeme : found

Scope No 22: Token <CONST_INT> Lexeme 21101094 found

